#Approved Symbol	Previous Symbols	Synonyms
A1BG		
NFE2		NF-E2
NFE2L1	TCF11	NRF1, LCR-F1, FLJ00380
NFE2L2		NRF2
NFE2L3		Nrf3
NFIA		NFI-L, KIAA1439
NFIB		NFI-RED, NFIB2, NFIB3
NFIC	NFI	CTF, NF-I, CTF5
NFIL3	IL3BP1	E4BP4, NFIL3A, NF-IL3A
NFIX		NF1A
NFKB1		KBF1, p105, NFKB-p50, p50, NF-kappaB, NFkappaB, NF-kB1
NFKB2		LYT-10, p52, p105, NF-kB2
NFKBIA	NFKBI	IKBA, MAD-3, IkappaBalpha
NFKBIB		IKBB, TRIP9
NFKBIE		IKBE
NFKBIL1	NFKBIL	IKBL
TONSL	NFKBIL2	IKBR
NFRKB		DKFZp547B2013, INO80G
NFX1		NFX2, MGC20369
NFYA		HAP2, CBF-B, NF-YA
NFYB		CBF-A, HAP3, NF-YB
NFYC		CBF-C, NF-YC
NGEF		ARHGEF27
NGF	NGFB	
NGFR		TNFRSF16, CD271, p75NTR
NHCP1		
NHLH1	HEN1	NSCL, NSCL1, bHLHa35
NHLH2	HEN2	NSCL2, bHLHa34
NHP2L1	SSFA1	SNU13, FA-1, SPAG12, SNRNP15-5, 15.5K
NHS		
NID1	NID	entactin
NIDDM1		
NIDDM2		
NINJ1		NIN1
NINJ2		
NIPSNAP1		
NIT1		
NKG7		GIG1
NKS1		EC-1
NKTR		p104
NKX2-2	NKX2B	NKX2.2
NKX2-3	NKX2C	NKX2.3, CSX3, NKX4-3
NKX2-4	NKX2D	NKX2.4
NKX3-1	NKX3A	NKX3.1, BAPX2
NKX6-1	NKX6A	Nkx6.1
NM		
NMB		MGC2277, MGC3936, MGC17211
NMBR		
NME1		NM23, NM23-H1, NDPKA
NME2		NM23-H2, NDPKB
NME3		DR-nm23, NM23-H3, NDPKC
NME4		nm23-H4, NM23H4, NDPKD
NME5		nm23-H5, RSPH23
NMI		
NQO2	NMOR2	QR2, DHQV, DIA6
NMT1		NMT
NMT2		
NMU		
NNAT		Peg5
NNMT		
NNO1		
NNT		
EMC8	C16orf4, NOC4, C16orf2, COX4NB	FAM158B
NODAL		
NOG	SYNS1, SYM1	
NOP2	NOL1	NOP120, NSUN1, p120
NOL3		ARC, NOP30, MYP, CARD2
NOL4		NOLP, HRIHFB2255, CT125
NONO		NRB54, NMT55, P54NRB, P54
NOS1	NOS	nNOS
NOS2	NOS2A	iNOS, NOS, HEP-NOS
NOS2P2	NOS2B	
NOS2P1	NOS2C	
NOS3		ECNOS, eNOS
CNOT1	NOT1	CDC39, NOT1H, KIAA1007, AD-005
CNOT2	NOT2	CDC36, NOT2H
CNOT3	NOT3	NOT3H, KIAA0691, LENG2
CNOT4	NOT4	CLONE243, NOT4H
NOTCH1	TAN1	
NOTCH2		
NOTCH3	CADASIL	CASIL
NOTCH4	INT3	
NOV		IGFBP9, CCN3
NOVA1		
NOVA2	NOVA3	ANOVA
NOX1		NOH1, NOH-1, MOX1, GP91-2
NOX3		GP91-3
NOX4		KOX-1, KOX
PNP	NP	PUNP
NPAS1		MOP5, PASD5, bHLHe11
NPAS2		MOP4, PASD4, bHLHe9
NPAT		E14
NPC1		
NPC1L1		
NPDC1		DKFZp586J0523, CAB-, CAB1
NPEPPS		PSA, MP100
NPFF		FMRFAL
NPHP1	NPH1	JBTS4
NPHP3		NPH3, KIAA2000, FLJ30691, FLJ36696, MKS7
NPHS1		CNF, NPHN
NPIP		morpheus
NPM1		B23, NPM
NPM1P1	NPMP1	NG1-1.6
NPM1P10		
NPM1P11		
NPM1P12		
NPM1P13		
NPM1P14		
NPM1P17		
NPM1P18		
NPM1P19		
NPM1P2	NPMP2	NG2-6
NPM1P3	NPMP3, NPM1P15	NG3-3
NPM1P4	NPMP4	NG4-5
NPM1P5	NPMP5	NG5-4
NPM1P6	NPMP6	NG6-4
NPM1P7	NPMP7, NPM1P16	NG7-6
NPM1P8		
NPM1P9		
NPM2		
NPM3		
NPPA	ANP, PND	
NPPB		
NPPC		CNP
NPR1	ANPRA, NPRA	GUCY2A, ANPa
NPR2	ANPRB, NPRB, AMDM	GUCY2B, ANPb
NPR3	NPRC, ANPRC, C5orf23	GUCY2B, FLJ14054
NPTX1		
NPTX2		
NPTXR		
NPY		PYY4
NPY1R	NPYR	
NPY2R		
NPY5R		NPYR5
NPY6R		PP2, NPY1RL, NPY6RP
NR0B1	AHC, DSS	DAX1, AHCH
NR0B2		SHP
NR1D1	THRAL	ear-1, hRev, Rev-ErbAalpha, THRA1
NR1D2		BD73, RVR, EAR-1r, HZF2, Hs.37288
NR1H2	UNR	NER, NER-I, RIP15, LXR-b
NR1H3		LXR-a, RLD-1
NR1H4		FXR, RIP14, HRR1, HRR-1
NR1I2		ONR1, PXR, BXR, SXR, PAR2
NR1I3		MB67, CAR1, CAR
NR1I4		CAR2
NR2C1	TR2	TR2-11
NR2C2	TR4	TAK1, TR2R1, hTAK1
NR2E1	TLX	TLL, XTLL
NR2E3		PNR, rd7, RP37
NR2F1	ERBAL3, TFCOUP1	EAR-3, COUP-TFI, TCFCOUP1, SVP44
NR2F2	ARP1, TFCOUP2	COUP-TFII, COUPTFB, SVP40, NF-E3
NR2F6	ERBAL2	EAR-2
NR3C1	GRL	GR
NR3C2	MLR	MR
NR4A1	HMR, GFRP1	TR3, N10, NAK-1, NGFIB, NUR77
NR4A2	NURR1	TINUR, NOT, RNR1, HZF-3
NR4A3		CSMF, CHN, NOR1, MINOR
NR5A1	FTZF1	FTZ1, SF-1, ELP, AD4BP
NR5A2	FTF	FTZ-F1beta, hB1F, LRH-1, FTZ-F1, hB1F-2, B1F2
NR6A1	GCNF	GCNF1, RTR
NRAP		
NRAS		N-ras
NRBP1	NRBP	BCON3, MUDPNP, MADM
NRCAM		KIAA0343, Bravo
NRD1		hNRD1, hNRD2
NRF1		EWG, ALPHA-PAL
NRG1	HGL	HRG, NDF, GGF
NRG2		Don-1, NTAK, HRG2
NRG3		
NRGN		RC3
NRIP1		RIP140
NRL		D14S46E, RP27, NRL-MAF
NRM		NRM29
NRP1		NRP, VEGF165R, CD304
NRP2		VEGF165R2
NRTN		NTN
NRXN1		KIAA0578, Hs.22998
NRXN2		
NRXN3	C14orf60	KIAA0743
CNTNAP1	NRXN4	p190, Caspr, CNTNAP
HMGN5	NSBP1	
YBX1	NSEP1	YB-1, YB1, DBPB, NSEP-1, MDR-NF1, BP-8, CSDB, CSDA2
YBX1P1	NSEP1P	PSDBPB1
NSF		SKD2
NSMAF		FAN
NSX		
NT3		
NT5E	NT5	CD73, eN, eNT
NT5C2	NT5B	PNT5, GMP, cN-II
NTF3		NGF2
NTF4	NTF5	NT-4/5, GLC1O
NTF6A	NTF6	PSI-NT4, NTF5P
NTF6B		
NTF6G		
NTHL1		NTH1, OCTS3
NTN1		NTN1L
NTN3	NTN2L	
NTRK1		TRK, TRKA, MTC
NTRK2		TRKB
NTRK3		TRKC
NTS		
NTSR1		NTR
NTSR2		NTR2
NUBP1	NBP1	
NUBP2		CFD1
NUCB1		NUC, Calnuc
NUCB2		NEFA
NUDC		NudC
NUDCP1		
NUDCP2		
NUDT1	MTH1	
NUDT2	APAH1	
NUDT3		DIPP
NUDT4		DIPP2, HDCMB47P, KIAA0487, DIPP2alpha, DIPP2beta
NUDT5		hYSAH1, YSA1H
NUDT6		gfg-1, gfg, FGF2AS, FGF-AS
NUDT7		
NUDT8		FLJ41567
NUDT9		MGC3037
NUFIP1		NUFIP
NUFIP1P		
NUMA1		
NUMB	C14orf41	
NUMBL		NUMB-R, CTG3a, CAG3A, TNRC23, NUMBR, NUMBLIKE
NUP153		HNUP153
NUP155		KIAA0791, N155
NUP214		CAIN, CAN, D9S46E, N214
NUP50	NPAP60L	
NUP62		p62, DKFZp547L134, IBSN, SNDI, MGC841, FLJ20822, FLJ43869
NUP88		MGC8530
NUP98		NUP96
NVL		
NXF1		TAP, Mex67, DKFZp667O0311
NXF2		CT39, TAPL-2
NXF3		
NXF4		
NXF5		
NXPH2		NPH2
NXPH3		NPH3
NXPH4		NPH4
FRMD7	NYS, NYS1	FLJ43346
NYS2		NYSA
NYS3		CN
NYX	CSNB1, CSNB4	CLRP
OA3		
OAP		
OAS1	OIAS	OIASI, IFI-4
OAS2		
OAS3		
OASD		
OASL		TRIP14, p59OASL
OAT		HOGA
TBC1D25	OATL1	
OATP1	OATL3	
OAZ1	OAZ	AZI, MGC138338
OAZ2		
OAZ3		
OC90	PLA2L	
OCA2	D15S12, P, EYCL3, EYCL2	BEY2, EYCL, BEY, BEY1
OCD1		
OCLM		
OCLN		
OCM		OCM1
OCRL		OCRL1
ODC1		ODC
ODCP	ODC2	
OSR1	ODD	
ODF1		ODFPG, ODF27, RT7, HSPB10, CT133
ODF2		ODF84, CT134
TENM1	ODZ3, TNM, ODZ1	TEN-M1
OED		
OFC1	OFC	
OFC2		
OFC3		
OGDH		E1k
OGG1		HMMH, HOGG1, OGH1, MUTM
OGN		mimecan, OIF, SLRR3A
OGT		O-GLCNAC, HRNT1, MGC22921, FLJ23071
OLR1		LOX-1, SCARE1, CLEC8A
OMD		osteoadherin, SLRR2C
OMG		OMGP
OMP		
ONECUT1	HNF6, HNF6A	HNF-6
ONECUT2		OC-2
OPA1		NTG, KIAA0567, FLJ12460, NPG, MGM1
OPA2		
OPA3		FLJ22187, MGA3
OPCML		OPCM, OBCAM, IGLON1
OPEM		
OPHN1	MRX60	OPN1, ARHGAP41
OPLAH		OPLA, 5-Opase
OPRD1		
OPRK1		KOR
OPRL1		NOCIR, ORL1, OOR, KOR-3
OPRM1		MOR1
SIGMAR1	OPRS1	SR-BP1
OPTC		
OR10A2	OR10A2P	OST363
OR10A3		HTPCRX12, HSHTPCRX12
OR10B1P	OR10B2	
OR10C1	OR10C2	hs6M1-17, OR10C1P
OR10D1P	OR10D2P	OST074, HTPCRX03
OR10D3	OR10D3P	HTPCRX09
OR10G1P		
OR10G2		
OR10G3		
OR10H1		
OR10H2		
OR10H3		
OR10J1		HGMP07J, HSHGMP07J
OR11A1	OR11A2	hs6M1-18
OR12D1P	OR12D1	hs6M1-19
OR12D2		hs6M1-20
OR1A1		OR17-7
OR1A2		OR17-6
OR1B1		OR9-B
OR1C1		TPCR27, HSTPCR27
OR1D2	OLFR1	OR17-4
OR1D3P	OR1D6P, OR1D7P	OR17-23, OR11-13, OR11-22
OR1D4		OR17-30
OR1D5		OR17-31
OR1E1	OR1E9P, OR1E5, OR1E6	OR17-2, HGM071, OR17-32, OR13-66
OR1E2	OR1E4	OR17-93, OR17-135
OR1E3	OR1E3P	OR17-210
OR1F1	OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145
OR1F2P	OR1F3P, OR1F2	OLFMF2
OR1G1	OR1G2	OR17-209
OR1H1P	OR1H1	OST26
OR1I1		OR1I1P, OR19-20, OR1I1Q
OR1J1		hg32
OR1J2	OR1J3, OR1J5	OST044
OR1J4		HTPCRX01, HSHTPCRX01
OR1K1		hg99, MNAB
OR1L1	OR1L2	OR9-C
OR1L3		OR9-D
OR1L4	OR1L5	OR9-E
OR1L6	OR1L7	
OR1M1		OR19-6
OR1N1	OR1N3	OR1-26
OR1P1	OR1P1P	OR17-208
OR1Q1	OR1Q2, OR1Q3	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106
OR1R1P	OR20A1P, OR1R2P, OR1R3P	OR17-1
OR1S1		OST034
OR2A1		
OR2A2	OR2A2P, OR2A17P	OST008
OR2A3P		
OR2A5	OR2A8, OR2A26	OR7-138, OR7-141
OR2A7		HSDJ0798C17
OR2A9P	OR2A9	HSDJ0798C17
OR2B3	OR2B3P	OR6-4
OR2B4P		hs6M1-22
OR2B6	OR2B6P, OR2B1, OR2B1P, OR2B5	OR6-31, dJ408B20.2, OR5-40, OR5-41
OR2C1	OR2C2P	OLFmf3
OR2D2	OR2D1	OR11-610, hg27
OR2F1	OR2F4, OR2F5, OR2F3, OR2F3P	OLF3, OR7-140, OR7-139, OR14-60
OR2F2		OR7-1
OR2G1P		OST619, hs6M1-25
OR2H1	OR2H6, OR2H8	OR6-2
OR2H2		hs6M1-12
OR2H4P		OR6-3, OR2H4, hs6M1-7, dJ80I19.6
OR2H5P		OR2H5, hs6M1-13, HS271M21
OR2I1P	OR2I1, OR2I3P, OR2I4P, OR2I2	HS6M1-14
OR2J1	OR2J1P	OR6-5, hs6M1-4, dJ80I19.2
OR2J2		OR6-8, hs6M1-6, dJ80I19.4
OR2J3		OR6-6
OR2J4P		OR6-9, hs6M1-5, dJ80I19.5
OR2K2	OR2AR1P	HTPCRH06, HSHTPCRH06
OR2L1P	OR2L1, OR2L7P	HTPCRX02, HSHTPCRX02
OR2L2	OR2L4P, OR2L12	HTPCRH07, HSHTPCRH07
OR2M1P	OR2M1	OST037
OR2M2		OST423, OR2M2Q
OR2M3	OR2M6, OR2M3P	OST003
OR2M4		HTPCRX18, TPCR100, HSHTPCRX18, OST710
OR2N1P		OR6-7
OR2P1P		hs6M1-26
OR2Q1P		OR7-2
OR2R1P	OR2R1	OST058
OR2S1P		OST611
OR2S2		
OR2T1		OR1-25
OR2U1P	OR2AU1P	hs6M1-24
OR2U2P		hs6M1-23
OR2V1	OR2V1P	OST265
OR2W1		hs6M1-15
OR3A1		OLFRA03, OR40, OR17-40
OR3A2		OLFRA04, OR228, OR17-228
OR3A3	OR3A6, OR3A7, OR3A8P	OR17-201, OR17-137, OR17-16
OR3A5P		OLFRA06, OR25, OR17-25, RP11-64J4.6-001
OR4A1P	OR4A20P	OR11-30
OR4B1		OST208
OR4B2P		hg449
OR4C1P	OR4C1	HTPCRX11, HSHTPCRX11
OR4D1	OR4D3	TPCR16
OR4D2		
OR4E1	OR4E1P	
OR4E2		
OR4F1P	OR4F1	HSDJ0609N19
OR4F2P		OR4F2, hs6M1-11, S191N21
OR4F3		
OR4F4		OR4F18
OR4G1P	OR4G8P	OLB
OR4G2P	OR4G7P	
OR4G3P	OR4G3, OR4G5P	OLC, OLC-7501
OR4H6P	OR4H9P, OR4H10P, OR4H5P, OR4H11P, OR4H5, OR4H7, OR4H7P, OR4H2P, OR4H3P, OR4H11, OR4H2, OR4H3, OR4H1P, OR4H4P, OR4H10, OR4H4, OR4H8P, OR4H8	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58
OR51A1P		
OR52A1		HPFH1OR
OR5A1	OR5A1P	OST181
OR5B10P	OR5B11P, OR5B4P, OR5B10, OR5B11, OR5B18P	OR13-67, OR13-34, OR13-64
OR5B1P	OR5B9P, OR5B9, OR5B5P, OR5B14P, OR5B7P, OR5B7, OR5B8, OR5B8P, OR5B5, OR5B6, OR5B6P	OR8-122, OR8-123, OR6-57, OR6-55, OR3-144, OR912-92
OR5B2		OST073
OR5B3	OR5B13	OST129
OR5C1	OR5C2P	OR9-F, hRPK-465_F_21
OR5D2P	OR5D6P, OR5D10P, OR5D1P, OR5D5P, OR5D12P, OR5D8P, OR5D7P, OR5D9P, OR5D12, OR5D11P, OR5D11	OR11-7a, OR912-91, OR8-127, OR912-47, OR18-44, R5D9P, OR18-17, OR18-42, OR18-43, OR912-94, OR8-125
OR5D3P	OR5D3, OR5D4	OR11-8b, OR11-8c
OR5E1P	OR5E1	TPCR24, HSTPCR24
OR5F1		OR11-10
OR5G1P	OR5G2P	OR11-104, OR93
OR5H1		HTPCRX14, HSHTPCRX14
OR5I1		HSOlf1, OLF1
OR5J1P	OR5J1	HTPCRH02
OR5K1		HTPCRX10, HSHTPCRX10
OR5L1		OST262
OR5L2		HTPCRX16, HSHTPCRX16
OR5M1		OST050
OR6B1		OR7-3
OR6C1		OST267
OR7A10		
OR7A11P	OR7A11	OST527
OR7A15P	OR7A4P, OR7A16P, OR7A20P	OR19-134, OR19-1, OR19-146
OR7A17		HTPCRX19
OR7A1P	OR7A6P	OR19-3, OLF4p, hg513
OR7A3P	OR7A12P, OR7A14P, OR7A14, OR7A13P	OR11-7b, OR19-12, OR14-59, OR14-11
OR7A5		HTPCR2
OR7A2P	OR7A7, OR7A2	hg1003, OR19-18, OLF4p
OR7A8P	OR7A9P	OST042, HG83, OR19-11
OR7C1	OR7C4	OR19-5
OR7C2	OR7C3	OR19-18
OR7D1P	OR7D3P, OR7D3	OR19-A
OR7D2		OR19-4, HTPCRH03, FLJ38149
OR7D4	OR7D4P	hg105, OR19-B
OR7E10P		OR11-1
OR7E11P	OR7E144P	OR11-2
OR7E12P	OR7E58P, OR7E79P	OR11-3
OR7E13P		OR11-4
OR7E14P	OR7E151P	OR11-5
OR7E15P	OR7E80P, OR7E42P	OR11-392, OST001
OR7E16P	OR7E60P, OR7E17P	OR19-133, OR19-9
OR7E18P	OR7E61, OR7E98P	OR19-14, TPCR26
OR7E19P	OR7E65	OR19-7
OR7E1P		
OR7E21P	OR7E49P, OR7E127P	OR4DG, OST035
OR7E22P		OR6DG, OR3.6
OR7E23P	OR7E92P	OR21-3
OR7E24	OR7E24P	OR19-8, HSHT2, OR7E24Q
OR7E25P		OR19-C, CIT-B-440L2
OR7E26P	OR7E67P, OR7E69P, OR7E70P, OR7E68P	OR1-51, OR1-72, OR1-73, OR912-95
OR7E28P	OR7E133P, OR7E107P, OR7E27P	OST128, hg616
OR7E29P		OST032
OR7E2P	OR7F2P, OR7E51P	OR11-6, hg94
OR7E31P	OR7E32P	OST205
OR7E33P		hg688
OR7E35P	OR7E120	OST018
OR7E36P	OR7E119P	OST024
OR7E37P		hg533
OR7E38P	OR7E76	OST127
OR7E39P	OR7E138P	hg611
OR7E41P	OR7F6P, OR7E50P, OR7E95P	OR11-20, hg84, OR8-126
OR7E43P		OR4-116
OR7E46P		OST379, MCEEP
OR7E47P		OR7E141
OR7E4P	OR7F4P	OR11-11a
OR7E53P	OR7E78P, OR7E78, OR7E132P	OR3-143, OR3-142
OR7E55P	OR7E56P	OR2DG, OR3.2, OST013
OR7E59P	OR7E59, OR7E137P	OST119
OR7E5P	OR7F5P	OR11-12, FLJ31393
OR7E62P	OR7E63P, OR7E64P, OR7E82P	OR7E62, OR2-53, OR7E63, OR7E64
OR7E66P	OR7E6P, OR7E20P	hg630, HG630, OR3DG, OR3.3
OR7E7P		
OR7E8P		OR11-11a
OR7G1	OR7G1P	OR19-15
OR7G2		OST260
OR7G3		OST085
OR7H1P		OR7H1
OR8A1		OST025
OR8B1P	OR8B11P	OR11-561
OR8B2		
OR8B3		
OR8B4	OR8B4P	
OR8B5P		
OR8B6P		
OR8B7P	OR8B13P	
OR8B8		TPCR85
OR8C1P	OR8C3P, OR8C4P	OR11-175, OR912-45, OR912-106
OR8D1	OR8D3	OST004
OR8D2		
OR8G1	OR8G1P	TPCR25, HSTPCR25
OR8G2	OR8G2P, OR8G4	TPCR120, HSTPCR120, ORL206, ORL486
OR9A1P	OR9A1	HTPCRX06, HSHTPCRX06
ORC1	ORC1L	HSORC1, PARC1
ORC2	ORC2L	
ORC3	ORC3L	IMAGE50150, LATHEO
ORC4	ORC4L	HsORC4, Orc4p
ORC5	ORC5L	Orc5p, ORC5T
SLC22A13	ORCTL3	OCTL1, OCTL3, OAT10
SLC22A14	ORCTL4	OCTL2
VN1R7P	ORLP1	
VN1R8P	ORLP2	
ORM1		
ORM2		AGP-B, AGP-B', AGP2
OSBP		OSBP1
OSBP2	OSBPL1	KIAA1664, ORP-4, ORP4
OSM		MGC20461
OSMR		OSMRB
OXSR1	OSR1	KIAA1101
OSTF1		SH3P2, OSF, bA235O14.1
OTC		
CLDN11	OTM	OSP
OTOF	DFNB9	FER1L2, DFNB6
OTOG		mlemp, OTGN, FLJ46346
OTOR		MIAL, MIAL1, FDP
OTP		
OTSC1		OTS
OTSC2		
OTX1		
OTX2		
OVGP1	MUC9	CHIT5
OVOL1		
OXA1L		MGC133129, OXA1
OXCT1	OXCT	SCOT
OXT	OT	OXT-NPI, OT-NPI
OXTR		
P1		
P2RX1		P2X1
P2RX3		P2X3
P2RX4		P2X4
P2RX5		P2X5
P2RX7		P2X7, MGC20089
P2RX6	P2RXL1	P2XM, MGC129625, P2X6
P2RY1		P2Y1
P2RY11		P2Y11
P2RY2		P2U
P2RY4		NRU, P2Y4, UNR, P2P
P2RY6		P2Y6
P4HA1	P4HA	C-P4Halpha(I)
P4HA2		C-P4Halpha(II)
P4HB	PO4DB, ERBA2L	PDIA1, PROHB, DSI, GIT, PDI, PO4HB, P4Hbeta
BLOC1S6	PA, PLDN	
PA2G4		
PA2G4P1	PA2G4P	
PABPC1	PAB1, PABPC2	PABP1, PABPL1
PABPC3	PABPL3	PABP3, tPABP
PABPC4		iPABP, APP-1
PABPC1P1	PABPCP1	PABP1
PABPC1P2	PABPCP4, PABPCP2	PABP2, PABP4
PABPC1P3	PABPCP3	PABP3
PABPC1P4	PABPL2, PABPCP5	
PABPN1	OPMD, PABP2	PAB2
PABX		
PABY		
FURIN	PCSK3, FUR, PACE	SPC1
PCSK6	PACE4	SPC4
PACSIN1		SDPI
PACSIN2		SDPII
PACSIN3		SDPIII
PAEP		PEP, PP14, GdA, GdS, GdF, PAEG, GD, MGC138509, MGC142288
PAFAH1B1	MDCR, MDS	LIS1, PAFAH
PAFAH1B2		
PAFAH1B3		
PAFAH1B1P1	PAFAH1P1	LIS2
PAFAH1B1P2	PAFAH1P2	LIS2P
PAFAH2		HSD-PLA2
PAH		PH
SERPINE1	PLANH1, PAI1	PAI
SERPINB2	PLANH2, PAI2	HsT1201
PAICS	PAIS	ADE2H1, AIRC
PAICSP1		
PAICSP2		
PAK1		
PAK2		PAK65, PAKgamma
PAK3	MRX30, MRX47	hPAK3, bPAK
PALM		KIAA0270
PAM		PAL, PHM
PANK1	PANK	MGC24596, PANK1a, PANK1b
PANX1		MRS1, UNQ2529, PX1
PANX2		hPANX2, PX2
REG3A	PAP	HIP, REG-III, REG3, PBCGF, PAP1
PAPPA		PAPP-A, PAPPA1, IGFBP-4ase, PAPA, ASBABP2, DIPLA1
PAPSS1		ATPSK1, PAPSS
PAPSS2		ATPSK2
PARG		
PARK2		PDJ, AR-JP, parkin
PARK3		
PARN		DAN
PAWR		par-4, PAR4
PAX1		
PAX2		
PAX3	WS1	HUP2
PAX4		MODY9
PAX5		BSAP
PAX6	AN2	D11S812E, AN, WAGR
PAX7		Hup1
PAX8		
PAX9		
PAXIP1	PAXIP1L	CAGF29, CAGF28, TNRC2, PTIP
PBCRA1		CRAPB, PBCRA
PBG1		
PEBP1	PBP	RKIP, HCNP, PEBP
PBX1		
PBX2		G17, HOX12, PBX2MHC
PBX3		
PBX2P1	PBX2, PBXP1	
PC		PCB
PCA3		DD3, NCRNA00019, PCAT3
KAT2B	PCAF	P/CAF, GCN5, GCN5L
SLC45A3	PCANAP6, PCANAP2, PCANAP8	IPCA-6, prostein, IPCA-2, IPCA-8
PCAP		HPC2, HPC8
PCBD1	DCOH, PCBD	PCD
PCBP1		HNRPE1, hnRNP-E1, HNRPX, hnRNP-X
PCBP2		HNRPE2, hnRNP-E2
PCBP2P1		
PCBP2P2		
PCBP3		
PCBP4		MCG10, LIP4
PCCA		
PCCB		
PCDH1		pc42
PCDH11X	PCDH11	PCDH-X, PCDHX
PCDH12		VE-cadherin-2
PCDH7		BH-Pcdh
PCDH8		PAPC, ARCADLIN
PCDH9		
PCDHA@	CNRS1	CNR1
PCDHA1		
PCDHA10	CNRS8	CNR8, CRNR8, CNRN8, PCDH-ALPHA10
PCDHA11	CNRS7	CNR7, CRNR7, CNRN7, PCDH-ALPHA11
PCDHA12		PCDH-ALPHA12
PCDHA13	CNRS5	CNR5, CRNR5, CNRN5, PCDH-ALPHA13
PCDHA2		
PCDHA3		PCDH-ALPHA3
PCDHA4		CNR1, CRNR1, PCDH-ALPHA4, CNRN1
PCDHA5	CNRS6	CNR6, CRNR6, CNRN6, PCDH-ALPHA5
PCDHA6	CNRS2	CNR2, CRNR2, PCDH-ALPHA6
PCDHA7	CNRS4	CNR4, CRNR4
PCDHA8		
PCDHA9		KIAA0345, PCDH-ALPHA9
PCDHAC1		
PCDHAC2		PCDH-ALPHA-C2
PCDHACT		PCDHAC
PCDHB@		PCDH3
PCDHB1		PCDH-BETA1
PCDHB10		
PCDHB11		PCDH-BETA11, ME2
PCDHB12		PCDH-BETA12
PCDHB13		PCDH-BETA13
PCDHB14		PCDH-BETA14
PCDHB15		PCDH-BETA15
PCDHB2		PCDH-BETA2
PCDHB3		PCDH-BETA3
PCDHB4		PCDH-BETA4
PCDHB5		DKFZp586B0217, PCDH-BETA5
PCDHB6		PCDH-BETA6
PCDHB7		PCDH-BETA7
PCDHB8		PCDH-BETA8, PCDH3I
PCDHB9		PCDH-BETA9, PCDH3H
PCDHG@		PCDH2, PCDH4
PCDHGA1		PCDH-GAMMA-A1
PCDHGA10		PCDH-GAMMA-A10
PCDHGA11		PCDH-GAMMA-A11
PCDHGA12	CDH21	KIAA0588, FIB3, PCDH-GAMMA-A12
PCDHGA2		PCDH-GAMMA-A2
PCDHGA3		PCDH-GAMMA-A3
PCDHGA4		PCDH-GAMMA-A4
PCDHGA5		CDH-GAMMA-A5, ME3, PCDH-GAMMA-A5
PCDHGA6		PCDH-GAMMA-A6
PCDHGA7		PCDH-GAMMA-A7
PCDHGA8		KIAA0327, PCDH-GAMMA-A8
PCDHGA9		PCDH-GAMMA-A9
PCDHGB1		PCDH-GAMMA-B1
PCDHGB2		PCDH-GAMMA-B2
PCDHGB3		PCDH-GAMMA-B3
PCDHGB4		FIB2, CDH20, PCDH-GAMMA-B4
PCDHGB5		PCDH-GAMMA-B5
PCDHGB6		PCDH-GAMMA-B6
PCDHGB7		ME6, PCDH-GAMMA-B7
PCDHGB8P		PCDH-PSI3
PCDHGC3	PCDH2	PC-43, PC43, PCDH-GAMMA-C3
PCDHGC4		PCDH-GAMMA-C4
PCDHGC5		PCDH-GAMMA-C5
PCDHGCT		PCDHGC
SERPINA5	PLANH3, PCI	PAI3, PROCI
PCK1		PEPCK-C
PCK2		PEPCK, PEPCK2
PCLD	PLD1	
PCM1		PTC4
PCMT1		
PCNA		
PCNAP1		p1PCNA
PCNAP2		pF2PCNA
NUP85		NUP75, FLJ12549
PCNXL2		KIAA0435, FLJ11383
PCOLCE		PCPE, PCPE1
PCOLCE2		PCPE2
CHMP1A	PRSM1, PCOLN3	KIAA0047, CHMP1, Vps46A
PCOS1		
PCP4		PEP-19
PCSK1	NEC1	PC1, PC3, SPC3
PCSK2	NEC2	PC2, SPC2
PCSK4		PC4, SPC5, DKFZp434B217, MGC34749
PCSK5		PC5, PC6, SPC6
PCSK7		PC7, PC8, LPC, SPC7
CDK16	PCTK1	PCTAIRE, PCTAIRE1, PCTGAIRE, FLJ16665
CDK17	PCTK2	PCTAIRE2
CDK18	PCTK3	PCTAIRE3
PCTP		STARD2
PCYT1A	PCYT1	CT, CTPCT
PCYT1B		CCT-beta, CTB
PCYT2		ET
PDB1	PDB	
PDB2	LOH18CR1	FEO
PDC		MEKA
PDCD1		CD279, PD1
PDCD10	CCM3	TFAR15
PDCD2		ZMYND7, RP8
PDCD4		H731
PDCD5		TFAR19, MGC9294
PDCD6		ALG-2, PEF1B
PDCD6IP		Alix, AIP1, Hp95
PDCD7		HES18, ES18
AIFM1	PDCD8	AIF
MRPS30	PDCD9	PAP
PDCL		PhLP, DKFZp564M1863
PDE10A		
PDE11A		
PDE1A		
PDE1B	PDES1B	
PDE1C		Hcam3
PDE2A		
PDE3A		CGI-PDE
PDE3B		HcGIP1
PDE4A	DPDE2	
PDE4B	DPDE4	
PDE4C	DPDE1	
PDE4D	DPDE3	
